From,To,Duration,Energy used
1310,PARX,14.0,16.4
13215,13311,6.0,5.2
13215,13329,7.0,7.0
13215,13330,8.0,6.4
13215,13421,7.0,10.6
13215,13722,6.0,4.8
13215,3127,15.0,20.6
13215,6480,10.0,16.2
13215,PARX,5.0,2.8
13311,13215,6.0,5.2
13311,3127,14.0,25.2
13311,3127L,14.0,25.2
13311,6480,11.0,18.6
13311,PARX,6.0,5.6
13329,13215,7.0,7.0
13329,3127,15.0,27.4
13329,6480,16.0,23.2
13329,7880C,10.0,15.8
13329,PARX,7.0,7.6
13330,13215,8.0,6.4
13330,3127,18.0,27.4
13330,6480,11.0,21.8
13330,PARX,8.0,7.6
13421,13215,7.0,10.6
13421,3127,17.0,27.0
13421,6480,12.0,23.4
13421,7880C,9.0,17.0
13421,PARX,7.0,11.2
13722,13215,6.0,4.8
13722,PARX,5.0,4.2
2190,2190L,1.0,0.4
2190,4808,22.0,37.6
2190,ET_R,1.0,0.2
2190,PARX,19.0,28.0
2190L,2190,0.0,0.0
2190L,ET_R,1.0,0.2
3127,13215,15.0,20.6
3127,13311,14.0,25.2
3127,13329,15.0,27.4
3127,13330,15.0,27.4
3127,13421,17.0,27.0
3127,3127L,1.0,0.6
3127,6480,6.0,3.8
3127,PARX,15.0,20.8
3127L,13311,14.0,25.2
3127L,3127,1.0,0.6
3127L,HED_D,1.0,0.05
3127L,HED_E,1.0,0.062
4808,2190,22.0,37.6
4808,PARX,7.0,7.8
6480,13215,10.0,16.2
6480,13311,11.0,18.6
6480,13329,16.0,23.2
6480,13330,11.0,21.8
6480,13421,12.0,23.4
6480,3127,8.0,3.8
6480,PARX,11.0,17.6
7880C,13329,10.0,15.8
7880C,13421,9.0,17.0
7880C,ÖS_H,0.0,0.04
7880C,ÖS_J,0.0,0.0
ET_R,2190,1.0,0.2
ET_R,2190L,1.0,0.2
GMV_G,GMV_H,2.0,0.5
HED_D,3127L,1.0,0.05
HED_D,HED_E,2.0,0.1
HED_E,3127L,1.0,0.062
HED_E,HED_D,2.0,0.1
JON_A,JON_B,1.0,0.2
JON_B,JON_A,1.0,0.2
PARX,1310,14.0,16.4
PARX,13215,5.0,2.8
PARX,13311,6.0,5.6
PARX,13329,8.0,7.6
PARX,13330,7.0,7.6
PARX,13421,8.0,11.2
PARX,13722,5.0,4.2
PARX,2190,19.0,28.0
PARX,3127,18.0,20.8
PARX,4808,7.0,7.8
PARX,6480,11.0,17.6
ÖS_H,7880C,0.0,0.04
ÖS_H,ÖS_J,0.0,0.04
ÖS_J,7880C,0.0,0.0
ÖS_J,ÖS_H,0.0,0.04
PC_10,PC_3,0.0,0.0
PC_10,PC_5,0.0,0.0
PC_10,PC_6,0.0,0.0
PC_10,PC_7,0.0,0.0
PC_10,PC_9,0.0,0.0
PC_3,PC_10,0.0,0.0
PC_3,PC_5,0.0,0.0
PC_3,PC_6,0.0,0.0
PC_3,PC_7,0.0,0.0
PC_3,PC_9,0.0,0.0
PC_5,PC_10,0.0,0.0
PC_5,PC_3,0.0,0.0
PC_5,PC_6,0.0,0.0
PC_5,PC_7,0.0,0.0
PC_5,PC_9,0.0,0.0
PC_6,PC_10,0.0,0.0
PC_6,PC_3,0.0,0.0
PC_6,PC_5,0.0,0.0
PC_6,PC_7,0.0,0.0
PC_6,PC_9,0.0,0.0
PC_7,PC_10,0.0,0.0
PC_7,PC_3,0.0,0.0
PC_7,PC_5,0.0,0.0
PC_7,PC_6,0.0,0.0
PC_7,PC_9,0.0,0.0
PC_9,PC_10,0.0,0.0
PC_9,PC_3,0.0,0.0
PC_9,PC_5,0.0,0.0
PC_9,PC_6,0.0,0.0
PC_9,PC_7,0.0,0.0
JON_A,JON_B,0.0,0.0
JON_B,JON_A,0.0,0.0
HED_D,HED_E,0.0,0.0
HED_E,HED_D,0.0,0.0
GMV_G,GMV_H,0.0,0.0
GMV_H,GMV_G,0.0,0.0
PARX,2190L,19.0,28.0
2190L,PARX,19.0,28.0
PARX,GMV_H,0.11,15.4
GMV_H,PARX,0.11,15.4
PARX,HED_D,0.2,20.8
HED_D,PARX,0.2,20.8
PARX,JON_A,0.09,12.8
JON_A,PARX,0.09,12.8
PARX,ÖS_H,0.11,11.6
ÖS_H,PARX,0.11,11.6
GMV_G,PARX,0.11,15.4
PARX,GMV_G,0.11,15.4
HED_E,PARX,0.16,20.8
PARX,HED_E,0.16,20.8
JON_B,PARX,0.1,12.8
PARX,JON_B,0.1,12.8
ÖS_J,PARX,0.08,11.6
PARX,ÖS_J,0.08,11.6
PC_10,PARX,0.05,2.8
PC_3,PARX,0.05,2.8
PC_5,PARX,0.05,2.8
PC_7,PARX,0.05,2.8
PC_9,PARX,0.05,2.8
PARX,PC_3,0.05,2.8
PARX,PC_5,0.05,2.8
PARX,PC_7,0.05,2.8
PARX,PC_9,0.05,2.8
PARX,PC_10,0.05,2.8
